"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,18,93.974,14.075,120.07
0,24,93.926,13.951,120.07
0,29,93.755,14.012,120.06
0,30,93.851,13.893,120.07
0,33,93.722,13.886,120.06
309.15,83,94.276,14.1,120.06
278.67,84,94.409,14.134,120.05
337.33,88,94.25,13.909,120.08
0,91,94.085,13.902,120.08
340.38,92,94.205,13.729,120.09
0,96,93.989,13.753,120.08
0,97,94.178,13.557,120.08
0,101,93.588,13.825,120.04
0,102,93.799,13.737,120.06
0,103,93.948,13.583,120.07
0,104,94.157,13.419,120.08
307.33,106,93.299,13.789,120
314.2,107,93.453,13.767,120.02
0,108,93.694,13.658,120.05
0,109,93.796,13.491,120.05
0,110,94.008,13.42,120.06
311.75,111,93.356,13.665,120
0,112,93.563,13.591,120.03
313.4,168,94.769,14.242,120.01
313.3,169,94.65,14.159,120.03
308.98,172,94.432,14.018,120.07
314.01,173,94.604,13.959,120.07
321.09,178,94.422,13.903,120.08
316.28,179,94.578,13.764,120.09
322.22,183,94.381,13.746,120.09
315.97,184,94.515,13.633,120.09
318.85,188,94.369,13.549,120.09
315.17,189,94.549,13.509,120.09
315.74,194,94.52,13.383,120.09
317.87,195,94.387,13.315,120.08
322.41,200,93.96,13.338,120.05
316.66,201,94.187,13.245,120.06
286.44,206,93.174,13.652,119.96
291.72,207,93.282,13.515,119.97
300.24,208,93.436,13.502,120
318.68,209,93.637,13.442,120.02
315.66,210,94.016,13.212,120.04
315.59,211,93.802,13.328,120.03
299.1,217,93.356,13.387,119.97
315.04,218,93.602,13.307,120
314.71,357,94.992,14.339,119.97
314.71,361,94.813,14.094,120.04
314.71,362,94.94,14.178,120.01
314.71,367,94.925,14.002,120.04
314.71,368,94.814,13.906,120.06
314.71,371,94.773,13.731,120.08
314.71,375,94.705,13.566,120.09
314.88,379,94.773,13.355,120.1
315.15,381,94.7,13.212,120.09
317.99,389,94.58,13.113,120.08
314.74,401,94.386,13.103,120.06
293.34,410,93.032,13.522,119.92
288,411,93.152,13.52,119.94
314.71,412,93.868,13.178,120.02
314.71,413,94.177,13.045,120.04
296.96,420,93.14,13.377,119.92
300.29,421,93.268,13.24,119.93
301.68,422,93.446,13.227,119.96
313.87,423,93.704,13.131,119.99
314.71,424,93.946,13.045,120.01
314.71,425,94.099,12.913,120.01
303.11,430,93.348,13.111,119.92
314.56,431,93.587,13.047,119.96
314.71,432,93.86,12.957,119.98
314.71,584,95.194,14.277,119.96
314.71,600,95.134,14.129,120
314.71,612,95.171,13.899,120.04
314.78,614,95.022,13.845,120.06
314.88,624,94.996,13.668,120.08
314.81,631,95.134,13.425,120.09
314.71,632,94.919,13.513,120.09
315.45,633,95.048,13.346,120.09
315.32,638,94.841,13.424,120.09
317.11,639,94.952,13.251,120.09
322.13,653,94.918,13.096,120.09
320.08,665,94.817,12.965,120.07
315.17,676,94.619,12.933,120.06
293.76,685,92.907,13.527,119.88
314.9,686,94.418,12.928,120.04
300.71,694,92.86,13.406,119.85
302.05,695,93.007,13.236,119.86
300.77,696,93.122,13.245,119.89
314.76,697,94.331,12.799,120.02
302.72,704,93.151,13.075,119.87
302.18,705,93.308,12.936,119.88
303.44,706,93.472,12.944,119.91
314.56,707,93.709,12.893,119.95
314.71,708,93.9,12.845,119.97
314.71,709,94.115,12.763,119.98
303.04,714,93.436,12.805,119.87
314.12,715,93.704,12.758,119.92
314.71,716,93.904,12.761,119.95
316.86,912,95.545,14.116,119.96
314.81,914,95.477,14.018,119.99
333.93,915,95.516,14.324,119.9
314.71,919,95.276,13.978,120.02
314.71,920,95.422,13.922,120.01
314.71,924,95.344,13.785,120.04
315.04,926,95.352,13.645,120.06
315.33,933,95.207,13.521,120.08
321.3,934,95.359,13.509,120.07
324.71,942,95.376,13.299,120.08
326.64,943,95.204,13.206,120.09
328.5,944,95.381,13.134,120.08
329.9,961,95.14,13.061,120.09
331.86,962,95.378,12.971,120.08
332.31,973,95.055,12.954,120.08
335.67,974,95.284,12.854,120.07
325.9,984,95.008,12.867,120.07
328.21,985,95.164,12.8,120.07
326.93,993,95.035,12.741,120.06
323.59,994,94.837,12.748,120.05
320.89,1004,94.618,12.765,120.03
288.3,1014,92.696,13.308,119.79
300.68,1015,92.906,13.214,119.83
317.43,1016,94.59,12.658,120.02
314.73,1017,94.44,12.648,120
314.74,1018,94.566,12.561,120
287.51,1022,92.213,13.31,119.65
286.45,1023,92.37,13.26,119.69
285.56,1024,92.606,13.181,119.74
295.53,1025,92.892,13.069,119.8
296.96,1026,93.066,12.858,119.8
301.09,1027,93.174,12.914,119.84
314.71,1028,94.488,12.546,119.99
314.71,1029,94.333,12.57,119.97
301.77,1037,93.292,12.717,119.82
304.68,1038,93.508,12.589,119.84
304.7,1039,93.587,12.653,119.87
314.25,1040,93.752,12.633,119.9
314.71,1041,93.896,12.609,119.92
314.71,1042,94.072,12.621,119.95
305.31,1050,93.701,12.48,119.85
314.58,1051,93.856,12.507,119.88
323.45,1291,95.779,13.964,119.96
318.53,1293,95.746,13.793,120
355.75,1294,95.68,14.162,119.92
316.14,1297,95.832,13.629,120.02
314.71,1298,95.651,13.685,120.03
315.32,1299,95.765,13.564,120.04
315.17,1303,95.515,13.58,120.06
316.42,1304,95.7,13.494,120.05
322.06,1308,95.505,13.385,120.07
327.83,1309,95.647,13.379,120.06
334.79,1327,95.645,13.191,120.07
340.23,1328,95.563,13.066,120.07
341.14,1329,95.802,12.984,120.06
340.6,1341,95.558,12.935,120.07
341.21,1342,95.733,12.85,120.06
341.29,1356,95.569,12.825,120.07
341.19,1357,95.516,12.703,120.06
331.29,1366,95.337,12.65,120.05
328.34,1376,95.176,12.618,120.04
328.03,1377,95.07,12.547,120.03
325.49,1384,94.867,12.542,120.01
317.71,1392,94.737,12.54,120.01
315.45,1393,94.668,12.518,120
286.47,1402,92.211,13.139,119.61
286.07,1403,92.499,13.039,119.68
285.59,1404,92.745,12.962,119.73
296.02,1405,92.916,12.908,119.77
314.79,1406,94.574,12.345,119.94
315.14,1407,94.644,12.425,119.97
284.67,1414,91.935,13.01,119.49
287.97,1415,92.176,12.961,119.56
288,1416,92.434,12.886,119.62
287.94,1417,92.704,12.805,119.68
300.42,1418,92.988,12.736,119.74
313.86,1419,93.237,12.61,119.78
314.5,1420,93.484,12.496,119.8
314.71,1421,94.055,12.506,119.92
314.74,1422,94.295,12.412,119.93
314.11,1430,93.738,12.343,119.81
314.71,1431,93.95,12.354,119.86
314.71,1432,94.089,12.398,119.89
24.018,1650,96.062,14.051,119.89
18.414,1651,95.93,13.988,119.93
37.054,1653,95.995,14.253,119.84
348.66,1656,96.025,13.788,119.96
327.91,1657,95.891,13.744,119.99
320.47,1658,96.019,13.651,119.99
317.39,1660,96.002,13.525,120.01
319.6,1661,95.88,13.448,120.04
324.85,1662,96.019,13.386,120.03
320.85,1664,95.829,13.321,120.05
331.9,1665,95.998,13.266,120.04
329.24,1680,95.761,13.243,120.06
337.12,1681,95.921,13.11,120.05
341.37,1691,96.015,12.893,120.05
341.39,1703,95.947,12.755,120.05
341.2,1713,95.7,12.698,120.05
340.88,1714,95.864,12.652,120.04
336.8,1724,95.806,12.509,120.03
335.18,1725,95.595,12.495,120.03
329.5,1735,95.277,12.512,120.03
333.11,1736,95.442,12.457,120.02
332.84,1746,95.34,12.346,120
332.34,1747,95.097,12.374,119.99
321.66,1757,94.802,12.43,119.99
328,1758,94.956,12.264,119.96
321.29,1767,94.764,12.188,119.92
283.2,1774,91.825,12.929,119.43
283.55,1775,91.925,12.778,119.43
284.93,1776,92.102,12.824,119.5
289.6,1777,92.379,12.724,119.56
288.69,1778,92.645,12.643,119.62
288.07,1779,92.91,12.589,119.68
301.36,1780,93.16,12.523,119.73
314.5,1781,93.343,12.485,119.77
315.27,1782,94.491,12.219,119.9
288.28,1789,92.077,12.698,119.46
301.76,1790,92.268,12.615,119.5
291.49,1791,92.585,12.465,119.55
287.06,1792,92.88,12.422,119.62
301.14,1793,93.157,12.386,119.69
